num,lat,long
0541_0542,39.325567,-73.514724
0541,39.356102,-73.574806
0542,39.308627,-73.467210
0539,39.544916,-73.297265
0538,39.717774,-73.163149
0537,39.977835,-72.746763
0544,40.240995,-73.088747
0549,39.473610,-73.997410
0570,39.293431,-74.032773
0499,39.249576,-74.131649
0532,39.021624,-74.382962
