lease_area,height_m,a0,a1,b1
0499,10,6.960300228310501,1.207167292943256,0.1423615192477019
0499,20,7.274585362760024,1.1758922464926196,0.39240647220529135
0499,40,7.900063564543019,0.9947565516350112,0.8016675731933443
0499,60,8.239037363194896,1.0077479302142847,0.890930885222257
0499,80,8.52749720953831,1.0224738348148261,0.9933441190340783
0499,100,8.746016833369577,1.0352237893843945,1.0683859709414536
0499,120,8.92867617960426,1.0678537913847015,1.1360243819878317
0499,140,9.061141262593315,1.0867016814466783,1.1995884164684032
0499,180,9.243493005725883,1.0881258833865897,1.2766661128719816
0499,160,9.172763879828947,1.0962481535421713,1.2637315587579083
0499,200,9.314771037181998,1.1492641414091533,1.302654393525538
0532,10,6.948619500616082,1.1902270248426015,0.16119398825095443
0532,20,7.263684188591724,1.160485930261699,0.41402725526286277
0532,40,7.895052529535409,0.9818078235941412,0.8294050479236726
0532,60,8.234479923171705,0.9959802931734751,0.9209634071124254
0532,80,8.519309831847504,1.0130595815881485,1.027286376550947
0532,100,8.737072443284772,1.0309048504715266,1.1060143876880348
0532,120,8.917776908023486,1.069993232290663,1.1753022703240241
0532,140,9.047671885192436,1.095565784744822,1.2397816075194608
0532,180,9.230974034210336,1.1105707718188051,1.3197849401103903
0532,160,9.15825112343263,1.1138243153931828,1.305660141504437
0532,200,9.30381881930855,1.173255698861528,1.3456568553439425
0537,10,7.269052493295647,1.770089467437392,0.2969057021912469
0537,20,7.580585815757051,1.6469451105178785,0.5344563790190799
0537,40,8.205997263897949,1.2989457731804464,0.9177204734118823
0537,60,8.53722196854389,1.2806558349083526,1.002349814656698
0537,80,8.816113865333042,1.2581582458466543,1.096813930625097
0537,100,9.03443212292528,1.239472497888819,1.1695145019928828
0537,120,9.219490106544903,1.234897077057592,1.235444463883709
0537,140,9.356153674711898,1.21803727654778,1.2984326863072781
0537,180,9.5495514785823,1.168614692479955,1.3708995242065098
0537,160,9.47176743132565,1.192091736618679,1.361081447104704
0537,200,9.627869790534172,1.2195485168882783,1.3915079983692327
0538,10,7.1933428281510485,1.703819479874614,0.2851795366101536
0538,20,7.503813147785752,1.5973783699880233,0.5262950684907043
0538,40,8.126273773284048,1.2792183989505235,0.9174371839798903
0538,60,8.459081738783793,1.2653740190655365,1.0039402330263942
0538,80,8.74156733347829,1.2478497084006759,1.101161599833483
0538,100,8.960979578893959,1.2337967149137319,1.175618968010086
0538,120,9.146374248024935,1.2381058356623897,1.244669547183665
0538,140,9.284559415090238,1.2280338870915095,1.3087209557999289
0538,180,9.479660668986007,1.1873658049527762,1.3827638905067603
0538,160,9.40373477929985,1.2091921801535834,1.3725649861628832
0538,200,9.556826973255054,1.2390132990318743,1.4035499657753372
0539,10,7.160095238095242,1.6517385795382435,0.2794264622651038
0539,20,7.4711160397187815,1.5575458998916643,0.5253915159395306
0539,40,8.091690874827863,1.2650304477709562,0.9272533133328583
0539,60,8.42647760382692,1.2535727706254076,1.0163770279095339
0539,80,8.712761614843801,1.239200445687979,1.1164241956708179
0539,100,8.934708124954705,1.2279401783847936,1.1947783999086197
0539,120,9.124184206711607,1.2335865615509414,1.2666067527197178
0539,140,9.264722693339127,1.2267790952038695,1.3347732034031974
0539,180,9.46374697397985,1.1883159338244802,1.4146690215228945
0539,160,9.386544411828664,1.2098660819660796,1.4017493449278018
0539,200,9.539524534319053,1.2383959689433124,1.4360279814214372
0541,10,7.116145430165977,1.501968407951902,0.2547281793579078
0541,20,7.427774244400956,1.4388472598915603,0.509346717651189
0541,40,8.04980823729796,1.2021509828832244,0.9258905258392325
0541,60,8.388375353337677,1.2011804963551758,1.018012554062657
0541,80,8.67549458215554,1.198864445113041,1.1221535749562428
0541,100,8.902965101108936,1.197011922410795,1.2026712890010078
0541,120,9.094621077045732,1.210112625790356,1.2760128176007375
0541,140,9.23564787634993,1.2107334099943938,1.3454776943172515
0541,180,9.42993509458578,1.182235942224799,1.4263071964516696
0541,160,9.354112107704577,1.2016692751313627,1.413525739607946
0541,200,9.505461567732116,1.2332940926442217,1.447731236019461
0542,10,7.154390755236648,1.5566051035354562,0.2874896028015833
0542,20,7.465653348554032,1.4812821316599807,0.5427226883794586
0542,40,8.088533413060812,1.2243784686773074,0.9608433938626408
0542,60,8.423529281727914,1.2193138340549445,1.0548831098062406
0542,80,8.709190711748931,1.2131363080509971,1.160313401090277
0542,100,8.937248115532359,1.2070791866634418,1.2423289034506595
0542,120,9.129669312169312,1.2172519102652566,1.3180715884253504
0542,140,9.271730122490396,1.2141743004723713,1.3889378257319187
0542,180,9.472652986156413,1.180644149000571,1.4717660322959834
0542,160,9.39473988910633,1.2020827975246586,1.4587622870630166
0542,200,9.548225646879759,1.230587746357565,1.492912866618016
0544,10,7.156705696890629,1.631484263277688,0.23328817819710446
0544,20,7.466034464013916,1.524917454502562,0.4604635545769833
0544,40,8.083745560629128,1.2065780509849127,0.8218341040871515
0544,60,8.409818330071758,1.1957888358198507,0.8969007455047828
0544,80,8.680959139668044,1.1814750106601741,0.982334092993495
0544,100,8.887304957599481,1.1705474515737644,1.043454989319973
0544,120,9.058849043270273,1.180818889158512,1.1001174951458774
0544,140,9.184341143002102,1.1794009918309074,1.1554988436838298
0544,180,9.358010817569042,1.1550237681044158,1.2174449762235093
0544,160,9.290877817641519,1.1682960470004,1.2108911490992231
0544,200,9.427817967674132,1.213590938129876,1.239469828914669
0549,10,6.93360003986374,1.2410082665485849,0.10460184842354925
0549,20,7.241880753062262,1.1986682295430138,0.3482195204444357
0549,40,7.860136460824816,0.9966883074980515,0.7457067386062665
0549,60,8.19347936145539,1.003698485749562,0.8299326925774211
0549,80,8.472742933246357,1.0128064568027328,0.9284099067855378
0549,100,8.688437124012466,1.0215706300920193,1.000153078535062
0549,120,8.86724619482496,1.0520797253176126,1.0656508188139917
0549,140,8.997982387475538,1.0688603485836883,1.1270143865935878
0549,180,9.181812658548957,1.0701099933454543,1.2021334225367468
0549,160,9.109478546060739,1.0768868534601395,1.1888755589031603
0549,200,9.253566626802927,1.1328995020920158,1.2300555233648585
0570,10,6.9830111618467825,1.241772328384863,0.14588149364001424
0570,20,7.294376639849246,1.21160172595694,0.4002769575951006
0570,40,7.9179026056389095,1.029594345817474,0.8148932255269474
0570,60,8.25527196129593,1.0406420250138602,0.904115449876666
0570,80,8.544166721026315,1.0538275739327603,1.006729044763294
0570,100,8.765252971660505,1.0645406753400142,1.0821303189454081
0570,120,8.94902223309415,1.0944312023049032,1.1504775365516393
0570,140,9.082538015510618,1.1095875735732106,1.214011795141761
0570,180,9.264916123070233,1.106695040107771,1.2925989125571566
0570,160,9.19478768935276,1.1163993140171242,1.2791079108719983
0570,200,9.337368902660002,1.1660767014133997,1.3176204891991623
