month,ratio
1,0.0624265896016495
2,0.07311311203032334
3,0.10200103565704173
4,0.10814523790414508
5,0.12058425889217753
6,0.12461993169995604
7,0.12715128251686297
8,0.1156998209385507
9,0.0976641893785444
10,0.07965563054961404
11,0.06492610337123621
12,0.05633974846452857
